j=1000
  Avg:0.009559999999999961 Std:0.03120114838655781
j=10000
  Avg:-0.03506000000000049 Std:0.10026626291849115
         3949389 function calls (3903366 primitive calls) in 49.171 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7790    0.003    0.000    0.004    0.000 __init__.py:653(__getitem__)
     7873    0.003    0.000    0.003    0.000 sre_parse.py:234(__next)
       27    0.003    0.000    0.003    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     3259    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      360    0.003    0.000    0.033    0.000 <frozen importlib._bootstrap>:921(_find_spec)
    19743    0.003    0.000    0.003    0.000 __init__.py:1724(isEnabledFor)
       58    0.003    0.000    0.003    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     2184    0.003    0.000    0.005    0.000 inspect.py:653(_findclass)
     6355    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
 1479/480    0.003    0.000    0.003    0.000 sre_parse.py:175(getwidth)
      297    0.003    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:950(get_code)
    23813    0.003    0.000    0.003    0.000 {method 'isidentifier' of 'str' objects}
     8405    0.003    0.000    0.004    0.000 sre_parse.py:165(__getitem__)
      618    0.003    0.000    0.003    0.000 _inspect.py:65(getargs)
     4652    0.002    0.000    0.003    0.000 {built-in method __new__ of type object at 0x7fcc237a50c0}
     5185    0.002    0.000    0.032    0.000 re.py:197(search)
    19650    0.002    0.000    0.002    0.000 font_manager.py:1160(score_style)
     9650    0.002    0.000    0.004    0.000 inspect.py:632(_is_wrapper)
      594    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
    24954    0.002    0.000    0.002    0.000 inspect.py:2683(name)
      718    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    19650    0.002    0.000    0.002    0.000 font_manager.py:1224(score_size)
    19650    0.002    0.000    0.002    0.000 font_manager.py:1177(score_variant)
