         12317905 function calls (12276807 primitive calls) in 15.128 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    33/25    0.000    0.000    0.011    0.000 deprecation.py:291(wrapper)
       56    0.000    0.000    0.000    0.000 transforms.py:2226(transform_non_affine)
      104    0.000    0.000    0.000    0.000 lines.py:1163(set_markeredgecolor)
       16    0.000    0.000    0.000    0.000 _base.py:2942(_get_axis_map)
      254    0.000    0.000    0.000    0.000 core.py:4099(<genexpr>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp437.py:1(<module>)
       11    0.000    0.000    0.000    0.000 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
       13    0.000    0.000    0.000    0.000 weakref.py:47(__new__)
       60    0.000    0.000    0.000    0.000 axis.py:316(set_label2)
        2    0.000    0.000    0.007    0.003 common.py:1(<module>)
       82    0.000    0.000    0.000    0.000 text.py:1283(set_parse_math)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
      145    0.000    0.000    0.000    0.000 inspect.py:182(ismodule)
       16    0.000    0.000    0.000    0.000 markers.py:682(_set_tickleft)
       13    0.000    0.000    0.000    0.000 __init__.py:119(_weak_or_strong_ref)
       34    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.047    0.047 qt_compat.py:1(<module>)
        9    0.000    0.000    0.001    0.000 patches.py:2262(__init_subclass__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:121(_add_integer_aliases)
       47    0.000    0.000    0.000    0.000 __init__.py:132(<genexpr>)
        1    0.000    0.000    0.000    0.000 unicode.py:111(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:2703(MaskedArray)
       32    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(diff)
        1    0.000    0.000    0.020    0.020 lines.py:1(<module>)
        4    0.000    0.000    0.000    0.000 backend_bases.py:2113(get_width_height)
        1    0.000    0.000    0.001    0.001 dviread.py:1(<module>)
        4    0.000    0.000    0.006    0.001 axis.py:1860(_get_tick_boxes_siblings)
      135    0.000    0.000    0.000    0.000 textwrap.py:482(predicate)
        2    0.000    0.000    0.015    0.008 _base.py:741(_init_axis)
       16    0.000    0.000    0.000    0.000 fromnumeric.py:2576(ptp)
      144    0.000    0.000    0.000    0.000 core.py:3627(recurse)
       28    0.000    0.000    0.000    0.000 pathlib.py:966(_make_child_relpath)
       32    0.000    0.000    0.001    0.000 __init__.py:620(__init__)
       35    0.000    0.000    0.000    0.000 backend_bases.py:869(set_alpha)
       35    0.000    0.000    0.000    0.000 warnings.py:437(__init__)
        1    0.000    0.000    0.020    0.020 quiver.py:1(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.001    0.001 helpers.py:590(_makeTags)
       16    0.000    0.000    0.000    0.000 cycler.py:52(_process_keys)
        1    0.000    0.000    0.028    0.028 backend_bases.py:3487(new_figure_manager)
       24    0.000    0.000    0.000    0.000 markers.py:253(__bool__)
      101    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        1    0.000    0.000    0.000    0.000 axis.py:602(Axis)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
      159    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.002    0.002 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
      136    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
       16    0.000    0.000    0.001    0.000 ticker.py:221(format_ticks)
       33    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        7    0.000    0.000    0.000    0.000 _parser.py:309(_convert)
        1    0.000    0.000    0.000    0.000 path.py:24(Path)
       66    0.000    0.000    0.001    0.000 _methods.py:42(_amin)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
      177    0.000    0.000    0.000    0.000 core.py:1700(leave_whitespace)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
       31    0.000    0.000    0.000    0.000 os.py:754(encode)
        2    0.000    0.000    0.000    0.000 types.py:69(new_class)
        1    0.000    0.000    0.000    0.000 __init__.py:250(disconnect)
        1    0.000    0.000    0.026    0.026 image.py:1(<module>)
       31    0.000    0.000    0.000    0.000 core.py:4948(__init__)
        1    0.000    0.000    0.043    0.043 _base.py:1(<module>)
      146    0.000    0.000    0.000    0.000 __init__.py:269(wrapper)
       13    0.000    0.000    0.000    0.000 zipfile.py:1034(close)
       78    0.000    0.000    0.000    0.000 core.py:2333(_generateDefaultName)
        3    0.000    0.000    0.001    0.000 backend_agg.py:441(get_renderer)
       56    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
       93    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
        1    0.000    0.000    0.003    0.003 scale.py:1(<module>)
       44    0.000    0.000    0.000    0.000 pathlib.py:600(_from_parsed_parts)
        8    0.000    0.000    0.001    0.000 spines.py:423(linear_spine)
       29    0.000    0.000    0.000    0.000 pathlib.py:710(name)
       28    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
      100    0.000    0.000    0.000    0.000 figure.py:2388(_set_dpi)
       24    0.000    0.000    0.000    0.000 __init__.py:1661(safe_first_element)
       60    0.000    0.000    0.000    0.000 patches.py:2193(_register_style)
       21    0.000    0.000    0.000    0.000 patches.py:398(set_linewidth)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
       21    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
       82    0.000    0.000    0.000    0.000 text.py:543(set_wrap)
    51/38    0.000    0.000    0.001    0.000 typing.py:401(__getitem__)
       78    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
        3    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
      124    0.000    0.000    0.000    0.000 core.py:673(<genexpr>)
       30    0.000    0.000    0.000    0.000 core.py:4430(_generateDefaultName)
        2    0.000    0.000    0.001    0.000 _base.py:406(_plot_args)
       64    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       59    0.000    0.000    0.000    0.000 backend_bases.py:997(get_hatch_path)
       16    0.000    0.000    0.000    0.000 cycler.py:135(__init__)
        1    0.000    0.000    0.000    0.000 dviread.py:177(Dvi)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
       19    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        6    0.000    0.000    0.000    0.000 dataclasses.py:412(_create_fn)
        4    0.000    0.000    0.000    0.000 __init__.py:1301(_check_1d)
        3    0.000    0.000    0.000    0.000 datetime.py:1571(__new__)
       11    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
       37    0.000    0.000    0.000    0.000 rcsetup.py:438(_validate_linestyle)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1653(FigureCanvasBase)
       13    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
      133    0.000    0.000    0.000    0.000 std.py:165(colour)
       14    0.000    0.000    0.001    0.000 core.py:1409(__sub__)
        2    0.000    0.000    0.000    0.000 threading.py:827(__init__)
       33    0.000    0.000    0.000    0.000 results.py:431(__iadd__)
       32    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
     12/8    0.000    0.000    0.013    0.002 axis.py:581(__get__)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
       24    0.000    0.000    0.000    0.000 artist.py:1171(<dictcomp>)
       20    0.000    0.000    0.000    0.000 mixins.py:16(_binary_method)
      104    0.000    0.000    0.000    0.000 docstring.py:92(do_copy)
       35    0.000    0.000    0.000    0.000 platform.py:812(uname)
        1    0.000    0.000    0.000    0.000 backend_qt.py:336(resizeEvent)
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
        1    0.000    0.000    0.000    0.000 figure.py:181(FigureBase)
      167    0.000    0.000    0.000    0.000 core.py:4087(<genexpr>)
        1    0.000    0.000    0.097    0.097 axes3d.py:1(<module>)
      226    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
       13    0.000    0.000    0.001    0.000 typing.py:523(Optional)
        2    0.000    0.000    0.003    0.002 axis.py:2073(_update_label_position)
        1    0.000    0.000    0.000    0.000 datetime.py:762(date)
      264    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
       15    0.000    0.000    0.000    0.000 deprecation.py:244(__set_name__)
       30    0.000    0.000    0.000    0.000 {built-in method _locale._get_locale_encoding}
        1    0.000    0.000    0.000    0.000 backend_qt.py:497(closeEvent)
        6    0.000    0.000    0.000    0.000 colors.py:1479(make_norm_from_scale)
        8    0.000    0.000    0.000    0.000 {built-in method unicodedata.name}
       10    0.000    0.000    0.001    0.000 core.py:2791(_generateDefaultName)
       48    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
       16    0.000    0.000    0.000    0.000 {method 'clip' of 'numpy.ndarray' objects}
       11    0.000    0.000    0.000    0.000 patches.py:418(set_linestyle)
       30    0.000    0.000    0.000    0.000 pathlib.py:1023(glob)
        1    0.000    0.000    0.000    0.000 legend.py:284(Legend)
        3    0.000    0.000    0.000    0.000 _pydecimal.py:3888(__init__)
        1    0.000    0.000    0.050    0.050 backend_qtagg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:700(Popen)
        1    0.000    0.000    0.395    0.395 figure.py:1(<module>)
        2    0.000    0.000    0.336    0.168 mathtext.py:437(_parse_cached)
       23    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 lines.py:198(Line2D)
        1    0.000    0.000    0.001    0.001 core.py:5798(<listcomp>)
        2    0.000    0.000    0.000    0.000 socket.py:494(_real_close)
       36    0.000    0.000    0.000    0.000 core.py:5585(__init__)
       40    0.000    0.000    0.000    0.000 _collections_abc.py:923(__iter__)
      237    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       18    0.000    0.000    0.000    0.000 arrayprint.py:506(wrapper)
       44    0.000    0.000    0.000    0.000 pathlib.py:631(__fspath__)
       77    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
        2    0.000    0.000    0.001    0.000 dataclasses.py:1334(make_dataclass)
      134    0.000    0.000    0.000    0.000 six.py:93(__init__)
        1    0.000    0.000    0.000    0.000 defchararray.py:1804(chararray)
        1    0.000    0.000    0.007    0.007 _parser.py:1(<module>)
        1    0.000    0.000    0.006    0.006 artist.py:1(<module>)
      104    0.000    0.000    0.000    0.000 docstring.py:90(copy)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reduction.py:1(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
       18    0.000    0.000    0.000    0.000 axis.py:1938(<genexpr>)
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
       34    0.000    0.000    0.000    0.000 axis.py:222(get_tick_padding)
        1    0.000    0.000    0.747    0.747 backend_bases.py:3510(show)
       18    0.000    0.000    0.000    0.000 markers.py:696(_set_tickup)
        1    0.000    0.000    0.025    0.025 overrides.py:1(<module>)
       67    0.000    0.000    0.000    0.000 typing.py:1234(<genexpr>)
       18    0.000    0.000    0.000    0.000 _base.py:74(wrapper)
       34    0.000    0.000    0.000    0.000 core.py:3532(parseImpl)
        2    0.000    0.000    0.013    0.006 {_init_pyside_extension}
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.011    0.011 loader.py:1(<module>)
        1    0.000    0.000    0.158    0.158 contour.py:1(<module>)
       17    0.000    0.000    0.000    0.000 core.py:4758(__init__)
       14    0.000    0.000    0.000    0.000 _mathtext.py:1309(__init__)
       16    0.000    0.000    0.000    0.000 ticker.py:1897(__init__)
        3    0.000    0.000    0.002    0.001 patches.py:2159(pprint_styles)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:149(_set_up_aliases)
      306    0.000    0.000    0.000    0.000 __init__.py:688(__iter__)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.000    0.000 threading.py:589(wait)
      140    0.000    0.000    0.000    0.000 axis.py:357(<genexpr>)
        1    0.000    0.000    0.001    0.001 backend_tools.py:1(<module>)
       13    0.000    0.000    0.000    0.000 zipfile.py:717(__init__)
        1    0.000    0.000    0.001    0.001 std.py:846(__init__)
        3    0.000    0.000    0.000    0.000 deprecation.py:459(<listcomp>)
        2    0.000    0.000    0.000    0.000 gridspec.py:668(get_position)
        1    0.000    0.000    0.000    0.000 _formlayout.py:1(<module>)
      168    0.000    0.000    0.000    0.000 rcsetup.py:59(func)
        1    0.000    0.000    0.000    0.000 pyplot.py:2006(get_plot_commands)
     10/3    0.000    0.000    0.001    0.000 unicode.py:14(__get__)
        1    0.000    0.000    0.000    0.000 main.py:34(init_velocities)
      110    0.000    0.000    0.000    0.000 {method 'popitem' of 'collections.OrderedDict' objects}
       28    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 figure.py:61(__init__)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
       12    0.000    0.000    0.002    0.000 axis.py:236(set_clip_path)
       48    0.000    0.000    0.001    0.000 core.py:5168(__ilshift__)
        1    0.000    0.000    0.125    0.125 collections.py:1(<module>)
        4    0.000    0.000    0.000    0.000 signal.py:34(_enum_to_int)
        2    0.000    0.000    0.012    0.006 axis.py:2013(__init__)
      3/1    0.000    0.000    0.407    0.407 image.py:114(_draw_list_compositing_images)
        4    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
      181    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 helpers.py:1061(<listcomp>)
       16    0.000    0.000    0.000    0.000 core.py:2820(parseImpl)
      160    0.000    0.000    0.000    0.000 axis.py:558(formatter)
        6    0.000    0.000    0.000    0.000 _base.py:1055(_set_position)
       22    0.000    0.000    0.000    0.000 core.py:5590(__add__)
        1    0.000    0.000    0.000    0.000 {method 'destroy' of 'PySide6.QtWidgets.QWidget' objects}
        1    0.000    0.000    0.004    0.004 backend_qt.py:326(keyPressEvent)
        7    0.000    0.000    0.000    0.000 sre_compile.py:440(_bytes_to_codes)
       12    0.000    0.000    0.000    0.000 __init__.py:1862(get_aliased_and_aliases)
        1    0.000    0.000    0.005    0.005 patches.py:3090(ArrowStyle)
        2    0.000    0.000    0.000    0.000 tokenize.py:390(open)
        2    0.000    0.000    0.000    0.000 _mathtext.py:153(set_canvas_size)
       35    0.000    0.000    0.000    0.000 backend_bases.py:955(set_joinstyle)
        1    0.000    0.000    0.408    0.408 figure.py:2786(draw)
       16    0.000    0.000    0.000    0.000 typing.py:1194(__getitem__)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(type_aliases_gen)
        1    0.000    0.000    0.000    0.000 cm.py:61(_DeprecatedCmapDictWrapper)
        1    0.000    0.000    0.006    0.006 cm.py:1(<module>)
        1    0.000    0.000    0.046    0.046 legend.py:1(<module>)
        8    0.000    0.000    0.004    0.000 _mathtext.py:594(_get_glyph)
        1    0.000    0.000    0.021    0.021 text.py:1(<module>)
        7    0.000    0.000    0.000    0.000 getlimits.py:647(__init__)
        1    0.000    0.000    0.002    0.002 transforms.py:1(<module>)
       30    0.000    0.000    0.000    0.000 locale.py:657(getpreferredencoding)
       53    0.000    0.000    0.000    0.000 six.py:182(_add_module)
        6    0.000    0.000    0.000    0.000 __init__.py:817(__init__)
        4    0.000    0.000    0.007    0.002 axis.py:934(set_clip_path)
       23    0.000    0.000    0.002    0.000 font_manager.py:172(_cached_realpath)
        8    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:193(caching_module_getattr)
        8    0.000    0.000    0.000    0.000 _mathtext.py:228(__init__)
        1    0.000    0.000    0.000    0.000 figure.py:2628(set_size_inches)
        1    0.000    0.000    0.000    0.000 pyplot.py:2058(<listcomp>)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
       11    0.000    0.000    0.003    0.000 core.py:5392(__init__)
      198    0.000    0.000    0.000    0.000 core.py:1873(recurse)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       38    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       16    0.000    0.000    0.000    0.000 transforms.py:1850(is_separable)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fcff12eb130}
        2    0.000    0.000    0.000    0.000 {method 'addSeparator' of 'PySide6.QtWidgets.QToolBar' objects}
        1    0.000    0.000    0.000    0.000 fontconfig_pattern.py:62(__init__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:202(_set_array_types)
       16    0.000    0.000    0.000    0.000 markers.py:688(_set_tickright)
       10    0.000    0.000    0.000    0.000 version.py:444(_cmpkey)
      104    0.000    0.000    0.000    0.000 markers.py:371(_set_nothing)
        8    0.000    0.000    0.000    0.000 spines.py:294(set_position)
        1    0.000    0.000    0.000    0.000 std.py:247(tqdm)
        2    0.000    0.000    0.003    0.002 axis.py:2342(_update_label_position)
       20    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
      130    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
        1    0.000    0.000    0.001    0.001 synchronize.py:1(<module>)
      120    0.000    0.000    0.000    0.000 patches.py:2177(<genexpr>)
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
      133    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       56    0.000    0.000    0.000    0.000 {built-in method math.log10}
        1    0.000    0.000    0.041    0.041 offsetbox.py:1(<module>)
        1    0.000    0.000    0.031    0.031 polar.py:1(<module>)
       15    0.000    0.000    0.000    0.000 rcsetup.py:85(_listify_validator)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:2742(RectangleSelector)
        1    0.000    0.000    0.000    0.000 figure.py:218(_get_draw_artists)
       38    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        2    0.000    0.000    0.000    0.000 backend_qt.py:353(sizeHint)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:581(_ReducedHCT_Element)
        1    0.000    0.000    0.000    0.000 pickle.py:407(_Pickler)
        2    0.000    0.000    0.002    0.001 axis.py:2279(__init__)
       16    0.000    0.000    0.000    0.000 cycler.py:415(cycler)
       12    0.000    0.000    0.000    0.000 _mathtext.py:1872(Error)
       32    0.000    0.000    0.000    0.000 _methods.py:101(_clip_dep_is_byte_swapped)
       10    0.000    0.000    0.000    0.000 fontconfig_pattern.py:158(_property)
        1    0.000    0.000    0.031    0.031 axis.py:1(<module>)
        5    0.000    0.000    0.000    0.000 datetime.py:384(_check_date_fields)
       13    0.000    0.000    0.000    0.000 zipfile.py:1018(_read2)
        1    0.000    0.000    0.003    0.003 secrets.py:1(<module>)
      174    0.000    0.000    0.000    0.000 {method 'read' of '_io.BytesIO' objects}
       32    0.000    0.000    0.000    0.000 axis.py:1495(convert_units)
       28    0.000    0.000    0.000    0.000 rcsetup.py:52(__init__)
       61    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
       11    0.000    0.000    0.000    0.000 core.py:5171(__or__)
        1    0.000    0.000    0.000    0.000 uuid.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _base.py:803(_set_lim_and_transforms)
       16    0.000    0.000    0.000    0.000 transforms.py:2327(blended_transform_factory)
        1    0.000    0.000    0.000    0.000 pathlib.py:945(Path)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        8    0.000    0.000    0.000    0.000 transforms.py:1735(_set)
       46    0.000    0.000    0.000    0.000 cp437.py:14(decode)
      153    0.000    0.000    0.000    0.000 core.py:4088(<genexpr>)
        2    0.000    0.000    0.000    0.000 _base.py:3053(<listcomp>)
       15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       13    0.000    0.000    0.001    0.000 zipfile.py:900(read)
       19    0.000    0.000    0.000    0.000 patches.py:477(set_capstyle)
        1    0.000    0.000    0.000    0.000 _pydecimal.py:513(Decimal)
      103    0.000    0.000    0.000    0.000 __init__.py:89(<lambda>)
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(linspace)
       12    0.000    0.000    0.000    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 backend_bases.py:2930(__init__)
       64    0.000    0.000    0.000    0.000 axis.py:687(isDefault_majloc)
        1    0.000    0.000    0.004    0.004 _pylab_helpers.py:70(destroy_fig)
        1    0.000    0.000    0.000    0.000 datetime.py:1214(time)
        1    0.000    0.000    0.014    0.014 cli.py:1(<module>)
       46    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
       28    0.000    0.000    0.000    0.000 core.py:2278(__init__)
       26    0.000    0.000    0.000    0.000 core.py:914(__init__)
      216    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       60    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.is_sorted}
      108    0.000    0.000    0.000    0.000 patches.py:2170(<genexpr>)
       15    0.000    0.000    0.001    0.000 core.py:2792(charsAsStr)
        2    0.000    0.000    0.002    0.001 _axes.py:1388(plot)
       15    0.000    0.000    0.000    0.000 typing.py:1188(copy_with)
        1    0.000    0.000    0.000    0.000 colors.py:61(__init__)
       18    0.000    0.000    0.000    0.000 transforms.py:53(_make_str_method)
        1    0.000    0.000    0.000    0.000 {method 'addWidget' of 'PySide6.QtWidgets.QToolBar' objects}
        4    0.000    0.000    0.000    0.000 function_base.py:1832(extract)
      127    0.000    0.000    0.000    0.000 core.py:4098(<genexpr>)
        1    0.000    0.000    0.003    0.003 ticker.py:1(<module>)
      112    0.000    0.000    0.000    0.000 markers.py:259(get_fillstyle)
        2    0.000    0.000    0.061    0.030 _mathtext.py:348(__init__)
        1    0.000    0.000    0.000    0.000 patches.py:26(Patch)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 threading.py:816(Thread)
        1    0.000    0.000    0.000    0.000 datetime.py:2185(timezone)
       16    0.000    0.000    0.001    0.000 fromnumeric.py:2083(clip)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
       57    0.000    0.000    0.000    0.000 transforms.py:1787(__array__)
       11    0.000    0.000    0.000    0.000 hatch.py:182(_validate_hatch_pattern)
        1    0.000    0.000    0.006    0.006 _pickle.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _mathtext.py:2307(non_math)
       22    0.000    0.000    0.000    0.000 transforms.py:2769(get_transformed_points_and_affine)
       32    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      161    0.000    0.000    0.000    0.000 util.py:196(escape_re_range_char)
       18    0.000    0.000    0.000    0.000 platform.py:901(system)
       37    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
       31    0.000    0.000    0.000    0.000 inspect.py:2002(_signature_is_functionlike)
       44    0.000    0.000    0.000    0.000 backend_agg.py:312(points_to_pixels)
        1    0.000    0.000    0.003    0.003 exceptions.py:1(<module>)
       35    0.000    0.000    0.000    0.000 backend_bases.py:886(set_antialiased)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
       34    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:61(<genexpr>)
        3    0.000    0.000    0.000    0.000 threading.py:236(__init__)
       35    0.000    0.000    0.000    0.000 backend_bases.py:891(set_capstyle)
       16    0.000    0.000    0.000    0.000 ticker.py:1918(le)
       32    0.000    0.000    0.000    0.000 axis.py:1567(set_major_formatter)
       22    0.000    0.000    0.000    0.000 lines.py:903(get_markeredgecolor)
        1    0.000    0.000    0.053    0.053 art3d.py:1(<module>)
       14    0.000    0.000    0.000    0.000 core.py:8106(getdoc)
       12    0.000    0.000    0.000    0.000 axis.py:1437(update_units)
        3    0.000    0.000    0.409    0.136 backend_qt.py:447(_draw_idle)
        1    0.000    0.000    0.000    0.000 polynomial.py:1076(poly1d)
       14    0.000    0.000    0.000    0.000 core.py:3776(__init__)
       37    0.000    0.000    0.000    0.000 cycler.py:386(<dictcomp>)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
       34    0.000    0.000    0.000    0.000 _methods.py:54(_any)
        8    0.000    0.000    0.000    0.000 {method 'setToolTip' of 'PySide6.QtGui.QAction' objects}
       20    0.000    0.000    0.000    0.000 text.py:1138(set_position)
        1    0.000    0.000    0.000    0.000 widgets.py:2063(SpanSelector)
       16    0.000    0.000    0.000    0.000 axis.py:497(_get_text1_transform)
        1    0.000    0.000    0.000    0.000 __init__.py:326(_sanity_check)
       99    0.000    0.000    0.000    0.000 {built-in method math.radians}
        1    0.000    0.000    0.015    0.015 textpath.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:131(geterr)
       16    0.000    0.000    0.000    0.000 axis.py:500(_get_text2_transform)
        1    0.000    0.000    0.001    0.001 pyi_generator.py:1(<module>)
        8    0.000    0.000    0.000    0.000 ticker.py:738(<genexpr>)
        8    0.000    0.000    0.000    0.000 _mathtext.py:162(render_glyph)
       15    0.000    0.000    0.000    0.000 figure.py:65(as_list)
        1    0.000    0.000    0.000    0.000 {method 'addToolBar' of 'PySide6.QtWidgets.QMainWindow' objects}
       97    0.000    0.000    0.000    0.000 core.py:5713(<genexpr>)
        1    0.000    0.000    0.000    0.000 pathlib.py:112(_WindowsFlavour)
        1    0.000    0.000    0.000    0.000 getlimits.py:490(_init)
       37    0.000    0.000    0.000    0.000 transforms.py:276(y0)
        1    0.000    0.000    0.000    0.000 ImageColor.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method 'draw_glyph_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      136    0.000    0.000    0.000    0.000 fromnumeric.py:3253(_around_dispatcher)
       24    0.000    0.000    0.000    0.000 lines.py:707(_get_transformed_path)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
       18    0.000    0.000    0.000    0.000 axis.py:436(_get_text1_transform)
        1    0.000    0.000    0.000    0.000 layout.py:134(define_nameless_parameter)
       16    0.000    0.000    0.000    0.000 cycler.py:474(_cycler)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1575(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
       75    0.000    0.000    0.000    0.000 {built-in method math.cos}
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
        1    0.000    0.000    0.000    0.000 artist.py:95(Artist)
        2    0.000    0.000    0.000    0.000 _base.py:3803(set_ylabel)
       24    0.000    0.000    0.000    0.000 text.py:620(_get_wrapped_text)
        3    0.000    0.000    0.000    0.000 transforms.py:386(size)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _base.py:751(set_figure)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        1    0.000    0.000    0.001    0.001 parser.py:1(<module>)
