         12317905 function calls (12276807 primitive calls) in 15.128 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40548    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     8722    0.004    0.000    0.168    0.000 inspect.py:3245(signature)
      114    0.004    0.000    0.276    0.002 artist.py:1491(pprint_setters)
     7445    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
        5    0.004    0.001    0.004    0.001 {built-in method gc.collect}
    59692    0.004    0.000    0.004    0.000 {built-in method unicodedata.east_asian_width}
    24545    0.003    0.000    0.004    0.000 enum.py:678(__new__)
      390    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap>:921(_find_spec)
    46324    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
     4000    0.003    0.000    0.007    0.000 artist.py:1448(aliased_name)
    39762    0.003    0.000    0.003    0.000 {built-in method builtins.abs}
        8    0.003    0.000    0.003    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
      720    0.003    0.000    0.005    0.000 functools.py:35(update_wrapper)
    19709    0.003    0.000    0.003    0.000 __init__.py:1724(isEnabledFor)
        8    0.003    0.000    0.003    0.000 {method 'addAction' of 'PySide6.QtWidgets.QWidget' objects}
     3750    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     3943    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x7fcff51a7020}
     7401    0.003    0.000    0.003    0.000 sre_parse.py:234(__next)
     3750    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       56    0.003    0.000    0.003    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
       30    0.003    0.000    0.015    0.001 __init__.py:759(_rc_params_in_file)
6193/5409    0.003    0.000    0.004    0.000 artist.py:290(stale)
      633    0.003    0.000    0.005    0.000 __init__.py:1691(normalize_kwargs)
    23810    0.003    0.000    0.003    0.000 {method 'isidentifier' of 'str' objects}
 1475/479    0.003    0.000    0.003    0.000 sre_parse.py:175(getwidth)
      558    0.003    0.000    0.011    0.000 artist.py:1046(update)
      618    0.003    0.000    0.003    0.000 _inspect.py:65(getargs)
     2184    0.003    0.000    0.005    0.000 inspect.py:653(_findclass)
    19650    0.002    0.000    0.002    0.000 font_manager.py:1160(score_style)
     5185    0.002    0.000    0.032    0.000 re.py:197(search)
     8411    0.002    0.000    0.004    0.000 sre_parse.py:165(__getitem__)
      133    0.002    0.000    0.016    0.000 std.py:355(format_meter)
      306    0.002    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:950(get_code)
     9650    0.002    0.000    0.004    0.000 inspect.py:632(_is_wrapper)
    19650    0.002    0.000    0.002    0.000 font_manager.py:1224(score_size)
  1014/36    0.002    0.000    0.023    0.001 core.py:776(_parseNoCache)
    24935    0.002    0.000    0.002    0.000 inspect.py:2680(name)
      612    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
    19650    0.002    0.000    0.002    0.000 font_manager.py:1177(score_variant)
    52/42    0.002    0.000    0.006    0.000 {built-in method _imp.exec_dynamic}
   852/29    0.002    0.000    0.022    0.001 core.py:909(_parseCache)
    19650    0.002    0.000    0.002    0.000 font_manager.py:769(get_size)
    20002    0.002    0.000    0.002    0.000 font_manager.py:761(get_stretch)
        4    0.002    0.000    0.002    0.000 {built-in method matplotlib._c_internal_utils.display_is_valid}
    11876    0.002    0.000    0.003    0.000 _mathtext.py:2469(<genexpr>)
     4248    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
    399/8    0.002    0.000    0.999    0.125 <frozen importlib._bootstrap>:1022(_find_and_load)
      101    0.002    0.000    0.006    0.000 artist.py:139(<listcomp>)
      767    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
